5/4/2010 01,0
5/4/2010 02,2
5/4/2010 03,1
5/4/2010 04,2
5/4/2010 05,4
5/4/2010 06,2
5/4/2010 07,7
5/4/2010 08,14
5/4/2010 09,28
5/4/2010 10,13
5/4/2010 11,24
5/4/2010 12,17
5/4/2010 13,11
5/4/2010 14,13
5/4/2010 15,21
5/4/2010 16,36
5/4/2010 17,19
5/4/2010 18,30
5/4/2010 19,28
5/4/2010 20,16
5/4/2010 21,41
5/4/2010 22,24
5/4/2010 23,9
5/4/2010 24,4
5/5/2010 01,1
5/5/2010 02,3
5/5/2010 03,1
5/5/2010 04,1
5/5/2010 05,1
5/5/2010 06,1
5/5/2010 07,7
5/5/2010 08,19
5/5/2010 09,33
5/5/2010 10,18
5/5/2010 11,24
5/5/2010 12,15
5/5/2010 13,19
5/5/2010 14,30
5/5/2010 15,19
5/5/2010 16,31
5/5/2010 17,28
5/5/2010 18,38
5/5/2010 19,24
5/5/2010 20,14
5/5/2010 21,18
5/5/2010 22,10
5/5/2010 23,8
5/5/2010 24,4
10/25/2011 01,5
10/25/2011 02,1
10/25/2011 03,1
10/25/2011 04,0
10/25/2011 05,0
10/25/2011 06,2
10/25/2011 07,7
10/25/2011 08,24
10/25/2011 09,67
10/25/2011 10,34
10/25/2011 11,24
10/25/2011 12,22
10/25/2011 13,35
10/25/2011 14,27
10/25/2011 15,32
10/25/2011 16,47
10/25/2011 17,31
10/25/2011 18,32
10/25/2011 19,37
10/25/2011 20,17
10/25/2011 21,14
10/25/2011 22,17
10/25/2011 23,10
10/25/2011 24,3
10/26/2011 01,4
10/26/2011 02,3
10/26/2011 03,0
10/26/2011 04,1
10/26/2011 05,0
10/26/2011 06,6
10/26/2011 07,12
10/26/2011 08,30
10/26/2011 09,51
10/26/2011 10,31
10/26/2011 11,22
10/26/2011 12,18
10/26/2011 13,29
10/26/2011 14,27
10/26/2011 15,21
10/26/2011 16,43
10/26/2011 17,32
10/26/2011 18,37
10/26/2011 19,31
10/26/2011 20,29
10/26/2011 21,11
10/26/2011 22,21
10/26/2011 23,11
10/26/2011 24,3